InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,ItemTotal
548813,M,Manual,1,04-04-2011 01:03 PM,1252.95,12744.0,Singapore,1252.95
555591,22679,FRENC%H BLUE METAL# DOOR S%IGN 4,10,06/06/2011 09:59:00,1.25,15073.0,United Kingdom,12.5
549291,84459B,Y&ELLO#W METAL CHICK%EN HEART*,1,04/07/2011 19:05:00,1.49,16261.0,United Kingdom,1.49
538349,21985,PACK OF 12 H*EART*S# D&ESI%G%N^ TIS&SUES,1,2010.10.12 14:59:00,0.85,,United Kingdom,0.85
568044,23268,S@E*T$ OF^ 2 C@ER@A^MI#C C!HR^IST&MAS R@EINDE%ER,12,09-23-2011 12:10 PM,1.45,15763.0,United Kingdom,17.4
560433,21936,RED R%ETR&OS$PO*T !PIC&NIC BA@G$,1,07-18-2011 03:49 PM,5.79,,United Kingdom,5.79
574547,21132,S!ILVER STAN@DING GNOME&,1,04-11-2011 03:08 PM,4.25,17841.0,United Kingdom,4.25
556103,22772,PIN@K !DRAW#ER^ KNO#B AC!RYLIC EDW#ARD@IAN!,12,06/08/2011 16:18:00,1.25,16011.0,United Kingdom,15.0
556671,23339,EGG !FRYING PA^N! !BL*UE,1,13/06/2011 16:33:00,2.08,17841.0,United Kingdom,2.08
580436,23280,FO*L$DING BUTTERF&L^Y M^I&RRO$R HO%T$ PINK,12,04-12-2011 12:17 PM,0.83,13318.0,United Kingdom,9.96
537855,21688,S@ILVER# PLATE CA$N@D#LE ^BOWL #SMALL,6,12/08/2010 15:59:00,2.95,15996.0,United Kingdom,17.700000000000003
563442,22715,CA$RD %WED&DING@ D!A$Y&,12,16/08/2011 13:25:00,0.42,17637.0,United Kingdom,5.04
578522,23583,LUNCH B@A*G ^P*A&ISL&E$Y PA$RK,1,11-24-2011 02:09 PM,1.65,17254.0,United Kingdom,1.65
548289,22485,SET& $OF 2 W&OODEN MA^RK%E*T CRA$TES,2,30/03/2011 11:48:00,12.75,13988.0,United Kingdom,25.5
543519,10133,C$OLOURI$NG PE^NCIL*S !B$RO*W$N T^U#BE,10,09-02-2011 11:38 AM,0.85,17083.0,United Kingdom,8.5
554795,21533,RETROSPO%T LARGE MILK JUG,6,05-26-2011 12:46 PM,4.95,14210.0,United Kingdom,29.700000000000003
556460,23165,LA!RGE CE^RAMIC @TOP@ STOR$AG%E J*AR,12,2011.12.06 09:56:00,1.65,14276.0,United Kingdom,19.799999999999997
574092,23244,ROUND* STORAG!E T#IN@ VI*NTAGE ^LE%AF,96,03-11-2011 09:28 AM,1.65,16684.0,United Kingdom,158.39999999999998
579297,22866,H&AND^ @WARM!ER SC&OTTY DOG! DESI@G^N,8,29/11/2011 11:23:00,4.13,,United Kingdom,33.04
557281,23283,DOOR&MAT VINT!AGE LE*A#VES& &DES%IGN,3,2011.06.19 12:23:00,7.95,13632.0,United Kingdom,23.85
560415,22977,D&OLLY &G#I@RL %CHILDREN&S& ^EG*G C%UP,12,07-18-2011 02:36 PM,1.25,15152.0,United Kingdom,15.0
547546,22055,MINI CAKE S*TAND  HA%NGING $STRAWBERY,96,2011.03.23 15:26:00,1.45,13249.0,United Kingdom,139.2
541696,90202A,P!URPLE ENAME!L $FLOWER! H#AI%R TIE,2,20/01/2011 18:08:00,2.9,,United Kingdom,5.8
559813,22982,PANTRY PA^STRY BRUSH,12,12-07-2011 03:42 PM,1.25,18272.0,United Kingdom,15.0
576189,22533,MAG$IC DRAWING SL$ATE BAKE #A CAKE,2,14/11/2011 11:33:00,0.42,14684.0,United Kingdom,0.84
C549786,22345,PARTY PIZZA !DISH$ BLUE# $POLKA#DOT,-18,2011.12.04 11:58:00,0.85,14071.0,United Kingdom,-15.3
570103,22993,S!E%T OF@ &4 PAN$TRY JE!LLY M&OUL!DS,2,07-10-2011 12:18 PM,1.25,15719.0,United Kingdom,2.5
570674,35818P,"ACRYLIC J&E$WE!L ^ICICLE, @PI@NK",12,2011.11.10 14:59:00,0.38,14911.0,EIRE,4.5600000000000005
546896,22755,SMA!LL PUR@PLE BABUSHKA* NOTE@BOOK@,1,2011.03.17 18:24:00,1.63,,United Kingdom,1.63
552554,85123A,WH@ITE HA#NGING !H#EA^RT T-LI&GHT HOLD!ER,8,10-05-2011 11:04 AM,2.95,12843.0,United Kingdom,23.6
540551,21033,J*UMB&O BAG CHARL^I$E AND $LOLA! #TOYS*,14,2011.10.01 09:43:00,2.51,,United Kingdom,35.14
552263,21716,BOYS VIN*TAGE *TI&N S@EASIDE BUCKET,8,05/08/2011 11:38:00,2.55,15561.0,United Kingdom,20.4
561862,20914,SET/5$ ^RED RE#TROSPO@T LID &G@LASS *B!OWLS,32,2011.07.31 10:38:00,2.55,15569.0,United Kingdom,81.6
569544,23399,HOME# ^SWEET HOME& HANGING HEART#,1,10/04/2011 16:33:00,2.08,,United Kingdom,2.08
537237,35971,ROSE^ FOLKART H@E#A!R#T D!ECOR*A$TIONS,1,12/06/2010 09:58:00,2.51,,United Kingdom,2.51
563174,22900,SET 2 TEA% TOWELS I L$OV@E# L!OND%O*N,6,2011.12.08 13:40:00,3.25,16746.0,United Kingdom,19.5
560861,20931,B#LUE POT P^LANT &C$ANDLE,1,21/07/2011 13:37:00,2.95,17660.0,United Kingdom,2.95
573117,23354,6 GIFT^ TAGS 50'S CHRISTM$AS@,48,10-27-2011 04:11 PM,0.83,16688.0,United Kingdom,39.84
577126,21563,R!ED HEART SHAP#E^ @L%OVE BUCK@ET,6,17/11/2011 19:22:00,2.95,12406.0,Denmark,17.700000000000003
541002,47590B,PINK @HAPPY BI#RT&HDAY BUNTIN#G!,3,13/01/2011 10:33:00,5.45,12951.0,United Kingdom,16.35
560853,48187,DOOR$MAT NEW$ EN!GLAND,10,21/07/2011 12:33:00,6.75,15311.0,United Kingdom,67.5
553404,84836,ZI@N*C META$L HEART DE$CORATION,24,05-17-2011 08:34 AM,1.25,14952.0,United Kingdom,30.0
571279,23520,EMBR@OID$ERE@D RIBBON% REEL RUBY,2,10-16-2011 12:54 PM,3.75,16466.0,United Kingdom,7.5
576592,47580,TEA TIME# D#ES TEA^ COSY,2,11-15-2011 02:47 PM,2.55,13614.0,United Kingdom,5.1
576339,23245,SET^ %OF 3& REGENCY CAKE #TINS#,2,2011.11.14 15:27:00,10.79,14096.0,United Kingdom,21.58
568065,22065,CHR$IST*MAS PU#D!DI#NG& TR%INKET PO#T,12,09-23-2011 01:44 PM,1.45,16240.0,United Kingdom,17.4
547375,22493,PA^INT& Y$OUR OW!N CA#NVA&S S&ET,12,22/03/2011 14:24:00,1.65,13196.0,United Kingdom,19.799999999999997
578347,22562,MONSTER#S ST&EN!CI!L CRA&FT,1,11-24-2011 09:26 AM,2.46,,United Kingdom,2.46
567635,22726,ALARM CLOCK BAKELIKE G$REEN,4,09-21-2011 01:41 PM,3.75,16523.0,United Kingdom,15.0
561091,DOT,DO&TC@OM,1,25/07/2011 09:55:00,75.79,,United Kingdom,75.79
537604,22557,PL%AS!TERS IN# TIN VI$NTAGE %PAISLEY@,12,2010.07.12 13:01:00,1.65,13488.0,United Kingdom,19.799999999999997
561917,82580,BATHROOM ME#TA@L S%IGN,1,01-08-2011 11:57 AM,0.55,16904.0,United Kingdom,0.55
562113,23292,SPACE BOY @CHILDRENS CUP,1,2011.02.08 16:11:00,2.46,,United Kingdom,2.46
564559,21932,SCAN^DINAVIAN$ PAISL@E@Y PICN*IC BAG,10,2011.08.26 09:37:00,1.65,15811.0,United Kingdom,16.5
547417,37482P,C%UBI&C MUG @PINK$ P^OLKADOT,6,2011.03.23 10:25:00,0.39,13239.0,United Kingdom,2.34
545543,22982,PANTRY #PASTRY B#RU&SH,12,03/03/2011 14:43:00,1.25,13476.0,United Kingdom,15.0
574675,23581,JUMBO BAG %PAISLEY P@ARK,1,2011.06.11 12:31:00,2.08,17289.0,United Kingdom,2.08
566605,22907,PACK OF 20% NAPKINS P^ANTRY DESIGN,3,2011.09.13 16:27:00,0.85,13263.0,United Kingdom,2.55
571508,23328,S!E$T 6 #SC*HO&OL #M&ILK B#O^TTLES IN C*RATE,3,17/10/2011 15:27:00,7.46,,United Kingdom,22.38
580193,21523,DOORMAT FA#NCY* FO&NT HO&ME& SW$EET HOME,5,2011.02.12 12:03:00,8.25,16899.0,United Kingdom,41.25
537133,47559B,T@E%A* TIM!E! @OV*EN *GLOVE,1,2010.05.12 12:29:00,1.25,18156.0,United Kingdom,1.25
565408,22181,SN@OWS&T*O%RM $PHOTO@ FRAME F@RID!GE &MA%GNET,5,09/04/2011 11:12:00,0.85,16813.0,United Kingdom,4.25
570414,22796,PHOT@O FRAME^ 3 C$LASSIC &HA!NGING#,2,10/10/2011 13:17:00,9.95,17214.0,United Kingdom,19.9
540459,84380,SET OF #3 BUTTERFLY C&O*OK%IE @C#U!TTE&RS,12,07-01-2011 12:35 PM,1.25,16191.0,United Kingdom,15.0
547092,22558,CLOTH$ES PEGS RET%ROSP$OT$ P$ACK 24,12,03-21-2011 08:18 AM,1.49,16619.0,United Kingdom,17.88
574561,20733,GOLD #MINI TAPE MEASURE,2,04-11-2011 03:52 PM,0.83,,United Kingdom,1.66
574700,22156,HEART !DECORATIO%N WIT*H ^PEARLS,5,2011.06.11 13:53:00,0.85,16033.0,United Kingdom,4.25
567128,22800,AN^TI@QUE T!ALL SW$IRLGLA!SS TR&INKE&T P@OT,8,2011.09.16 14:04:00,3.75,18055.0,United Kingdom,30.0
549687,21211,SET OF 7&2 $SKULL &PAPER% ^ DOI!LIES@,12,2011.11.04 13:29:00,1.45,12363.0,Unspecified,17.4
576840,23020,G!LAS%S@  SONGBIRD STORAG$E J!A%R,1,16/11/2011 15:23:00,24.96,,United Kingdom,24.96
568690,21980,PAC%K OF 1^2 R$ED R$ETROS^POT TI%SSUE%S,12,2011.09.28 14:43:00,0.39,16332.0,United Kingdom,4.68
568060,84945,MUL&TI COLOUR S#ILVE#R T-LI@GHT^ H!OLDER,12,09-23-2011 01:11 PM,0.85,14546.0,United Kingdom,10.2
543300,84638,SMALL #K%ITCHE@N FLOWER $POTS PLAQU*E,1,02/07/2011 11:42:00,6.95,13334.0,United Kingdom,6.95
578258,22694,WICKER& STAR,4,23/11/2011 13:01:00,2.1,13263.0,United Kingdom,8.4
538992,22665,REC@IPE$ BOX BL%UE SK%ET#CHB@O#OK *DESIGN,3,15/12/2010 11:56:00,2.95,15950.0,United Kingdom,8.850000000000001
572553,22722,SET @OF &6 SP&I#CE T#I!NS PAN#TR%Y* DE*SIGN,3,10-24-2011 05:09 PM,8.29,,United Kingdom,24.869999999999997
568060,23360,S!ET 8 C#A^N!DLES &VI%NTAGE* DO%ILEY,6,09-23-2011 01:11 PM,1.95,14546.0,United Kingdom,11.7
570846,22197,SM*A%LL PO@PCORN HOLDE*R,3,12-10-2011 02:33 PM,0.85,13983.0,United Kingdom,2.55
540954,20652,BLU$E P!OLKADOT^ LU$GGA%GE ^TAG,1,01/12/2011 13:19:00,1.25,14606.0,United Kingdom,1.25
569403,23233,W#R^AP P#OPPIES  DESIGN,25,10/04/2011 09:02:00,0.42,13319.0,United Kingdom,10.5
567661,90201A,PURPLE &ENAMEL FLO&W$ER RI^NG,1,2011.09.21 15:06:00,2.95,13959.0,United Kingdom,2.95
567665,47593B,SCO*TT^IE DO@GS B!ABY !BIB*,1,2011.09.21 15:22:00,0.83,,United Kingdom,0.83
553381,22636,CH%I%LDS BREAK@F@AST %SE%T CI*RC&U&S PARADE,2,05-16-2011 03:34 PM,8.5,13456.0,United Kingdom,17.0
540418,22214,C@ANDL*E% PLATE LACE WHI*T*E,2,01/07/2011 11:04:00,1.66,,United Kingdom,3.32
575931,23173,R^EG@ENC@Y TEAPOT ROSES,2,2011.11.13 10:35:00,9.95,16560.0,United Kingdom,19.9
565386,21735,TWO *D*OO*R& @CURIO $CABIN#ET,6,02-09-2011 03:48 PM,10.95,17997.0,United Kingdom,65.69999999999999
572935,21108,FAIRY CAKE FLANNEL !A^S%SORTED COLO&UR,18,10-27-2011 10:26 AM,0.79,14189.0,United Kingdom,14.22
575649,23128,FELT!C!R*AFT# BOY JE&AN-P!AUL KIT,2,2011.10.11 14:23:00,4.95,,United Kingdom,9.9
558196,48129,DOOR*MA%T @TOPIARY,1,06-27-2011 12:38 PM,7.95,16033.0,United Kingdom,7.95
560772,35923,CAND*Y HEART %HAN*GING D*E@COR%ATION,9,20/07/2011 16:12:00,0.83,,United Kingdom,7.47
562852,22147,FELT$CRAFT# BUTTERFL^Y% H#EARTS,12,10-08-2011 10:12 AM,1.45,13050.0,United Kingdom,17.4
574311,21068,VINTAGE BILLB^OARD LO&VE/HATE MU!G,6,11/03/2011 16:56:00,1.25,15640.0,United Kingdom,7.5
540539,22151,P@LACE S@E$TTIN#G WHI@TE HEART,24,01/09/2011 14:42:00,0.42,18260.0,United Kingdom,10.08
575337,20713,JUMB@O &BA%G@ OWL*S&,1,2011.09.11 14:11:00,2.08,17867.0,United Kingdom,2.08
537176,22556,PLAST@E%RS* !IN TIN CIRCUS P*A^RAD@E,2,2010.05.12 13:26:00,1.65,16411.0,United Kingdom,3.3
543492,22986,GINGHAM ROSE^ WRA!P$,25,2011.09.02 10:41:00,0.42,12720.0,Germany,10.5
544918,20677,PI%NK PO^L!KADOT BOWL#,16,02-24-2011 04:30 PM,1.25,13081.0,United Kingdom,20.0
575138,21115,RO!SE !CAR#AV@A$N$ DOORSTO$P,2,2011.08.11 15:24:00,14.13,,United Kingdom,28.26
554104,23204,CHA#RL^OTTE@ BAG* !A@PPLES D#ESIGN,10,2011.05.22 14:03:00,0.85,12705.0,Germany,8.5
553385,21559,S#TRA%WB$E@RRY LUNC@H BOX! ^WITH C!UT!LE$RY,3,05-16-2011 03:53 PM,2.55,16710.0,United Kingdom,7.65
556685,21985,PA^CK$ &OF 12 H*E^A$RTS !DE*SI^GN #TISSUES,24,2011.06.14 10:00:00,0.29,14503.0,United Kingdom,6.959999999999999
577150,21244,BLU&E POLKA!DO*T PLATE*,3,11-18-2011 09:48 AM,3.29,,United Kingdom,9.87
567428,23354,6 G&IF%T T%A*GS *50&'^S C@HRISTMAS,12,09-20-2011 11:35 AM,0.83,14911.0,EIRE,9.96
565150,21232,STRAWBERR&Y CE@RAM^IC* TRINKET BO^X,24,09/01/2011 14:26:00,1.06,14298.0,United Kingdom,25.44
553625,23171,REG%ENCY TE*A& PLA%T#E GREEN,96,18/05/2011 10:50:00,1.45,16684.0,United Kingdom,139.2
559167,23203,J^UMB$O$ BAG DOILEY PATTERNS%,2,2011.06.07 16:54:00,2.08,17997.0,United Kingdom,4.16
567667,22326,RO#UND SNA$C^K BOXES *SE%T! OF*4 ^WOODLAND,1,09-21-2011 03:24 PM,5.79,,United Kingdom,5.79
541696,22202,MILK* P@AN PI!NK$ PO@LKAD&O^T,1,20/01/2011 18:08:00,7.46,,United Kingdom,7.46
538008,22705,WR^AP GR^EEN *PEAR&S,25,12/09/2010 12:17:00,0.42,12683.0,France,10.5
560265,21498,RED %RETR&O&SPO*T W#RAP,25,17/07/2011 13:48:00,0.42,17863.0,United Kingdom,10.5
579350,75049L,LARGE CI%RCULAR MIR%ROR MOBILE,192,29/11/2011 11:48:00,0.85,15218.0,United Kingdom,163.2
572848,23461,SWE%E!T*HE#A^RT BIRD H@OU^SE,4,2011.10.26 12:19:00,4.15,16188.0,United Kingdom,16.6
542129,84378,SET O^F %3 HEA#RT COOKIE CUT#TERS,12,25/01/2011 15:18:00,1.25,13002.0,United Kingdom,15.0
545333,21314,SMALL G@LAS$S HEAR!T T@R!INK%ET POT,2,2011.01.03 16:22:00,4.13,,United Kingdom,8.26
569046,22335,H^E#ART D$EC!ORAT!IO$N PAI@N^TED ZINC,24,09-30-2011 10:48 AM,0.65,14422.0,United Kingdom,15.6
568896,22428,ENAME*L% FIRE BUCKET C*REAM,2,2011.09.29 13:13:00,6.95,16361.0,United Kingdom,13.9
580164,23093,S&MAL#L$ PAR&ISIENNE HEART P%HOTO! FR#AME@,16,12/02/2011 11:16:00,2.49,18097.0,United Kingdom,39.84
561203,85152,HAND OVER TH!E C*HOCO%LA&T&E *  SIGN,12,07-25-2011 03:17 PM,2.1,14232.0,United Kingdom,25.200000000000003
548160,22755,SMALL PU!R^PLE^ BABU$SHKA %N#O^T&EBOOK,24,03-29-2011 01:33 PM,0.85,16253.0,United Kingdom,20.4
551880,48188,DOORMA$T WELCOME PUPP&IES,2,2011.05.05 09:05:00,7.95,17374.0,United Kingdom,15.9
540026,21520,BOOZE & W%OMEN GREETING* CARD,3,04-01-2011 01:25 PM,0.43,,United Kingdom,1.29
581004,21955,DOORMAT U#NION JACK G$UN$S% AND #RO%SE!S,10,2011.07.12 08:41:00,7.08,16539.0,United Kingdom,70.8
575930,20724,RE@D R&ETROSPOT C%HA@RLOTTE BA$G,2,11-11-2011 05:58 PM,1.63,,United Kingdom,3.26
555876,47566,PARTY BUNTING,8,2011.07.06 15:28:00,4.95,15799.0,United Kingdom,39.6
568212,22720,SET! OF 3 CAKE T$INS PAN$TRY* DESI@GN,2,25/09/2011 16:05:00,4.95,15154.0,United Kingdom,9.9
580399,48138,DOORMAT UNION F!LA*G,1,2011.04.12 11:45:00,8.25,13471.0,United Kingdom,8.25
572775,22356,C&HARL$OTTE BAG PINK P&OLKADO!T,10,2011.10.26 10:43:00,0.85,13126.0,United Kingdom,8.5
557878,47591D,PINK #F&AI^R@Y& CAKE CHILDRENS A#PR%ON,2,23/06/2011 13:13:00,1.95,16940.0,United Kingdom,3.9
541696,21846,PINK *D^IAMANTE! $PEN IN G&IFT BOX,6,2011.01.20 18:08:00,1.63,,United Kingdom,9.78
573338,23500,KEY ^RING BASEBALL BOO*T *A#S#S%O*RTED^,4,2011.10.30 11:47:00,1.25,14546.0,United Kingdom,5.0
571061,22807,SET #O@F 6 T-LIGH#TS* TO@ADSTO@OLS,1,10-13-2011 02:33 PM,5.79,,United Kingdom,5.79
551436,21872,GLAMO*ROUS  M%UG@,1,2011.04.28 15:13:00,1.25,16904.0,United Kingdom,1.25
554059,22357,KIN%G&S$ &CHOI*CE BISC^UIT TIN,4,05-20-2011 04:25 PM,4.25,14388.0,United Kingdom,17.0
569691,23121,PACK ^OF 6 COC*KTAI#L PARASOL STRAWS,24,10/05/2011 15:09:00,0.42,18223.0,United Kingdom,10.08
C569114,22197,S*M#AL&L POPCORN #H%OL!D@E*R,-1,09-30-2011 12:50 PM,0.85,14911.0,EIRE,-0.85
540026,22117,METAL SIGN H#E@R D!INNER I%S &S#ERVED*,2,04-01-2011 01:25 PM,1.66,,United Kingdom,3.32
543300,22444,GROW !Y&OUR OWN PLANT IN A& C^AN,24,02/07/2011 11:42:00,1.25,13334.0,United Kingdom,30.0
559371,22469,H$EART OF WICKER SMAL$L,12,08-07-2011 10:20 AM,1.65,14264.0,United Kingdom,19.799999999999997
548622,22650,CER$A*M&IC PIRATE! CH$E$ST MONEY BA!NK,12,04/01/2011 12:09:00,1.45,13636.0,United Kingdom,17.4
565209,23168,CLA@SSIC! S@UGA%R DIS^PE$NSER,4,2011.01.09 16:59:00,1.25,15910.0,United Kingdom,5.0
545464,21993,FLOR^AL FOLK &STATION#ERY ^SET!,1,2011.03.03 09:10:00,2.46,,United Kingdom,2.46
560692,22667,RE#CI%PE BOX RETR&OSPOT,2,07-20-2011 12:01 PM,2.95,14704.0,United Kingdom,5.9
553340,22139,RETRO%S^POT TEA SET% CERA!MIC @11 ^PC,24,2011.05.16 12:20:00,4.25,15125.0,United Kingdom,102.0
553899,22907,PACK OF 20 NAPKINS &PA!NT$RY DESIGN,12,19/05/2011 17:25:00,0.85,14292.0,United Kingdom,10.2
558330,20724,RED RE#TROSPOT #CHARLO%T#T%E BAG&,10,2011.06.28 12:16:00,0.85,12748.0,United Kingdom,8.5
574575,22457,N%ATURA^L! SLATE HEART CHALKBOARD,3,11/04/2011 17:03:00,2.95,14971.0,United Kingdom,8.850000000000001
537369,21080,SET/20 RE@D! RETR#OSPOT P^AP!ER! NAP@KIN@S&,1,2010.06.12 12:41:00,0.85,17860.0,United Kingdom,0.85
578065,22170,PI^C!TU#RE FR$AME WOOD T!RIPLE PORTRA$IT#,2,11-22-2011 03:41 PM,13.29,,United Kingdom,26.58
580032,22865,HAND W*ARME!R OWL DESI@GN,3,2011.01.12 12:17:00,2.1,14659.0,United Kingdom,6.300000000000001
579001,23372,S#ET 36 COLOUR PENCIL!S !DOLLY GIR!L,1,2011.11.27 16:19:00,1.25,15555.0,United Kingdom,1.25
566789,21500,PIN&K P!O^LKAD%OT %WRAP,25,2011.09.15 10:35:00,0.42,13134.0,United Kingdom,10.5
543544,22744,M*AKE &Y%OUR OWN #MO$NSOON% CA&RD ^KIT,2,02/09/2011 15:39:00,2.95,,United Kingdom,5.9
569866,21985,PACK OF 12$ HEARTS D^ESI*GN^ TISSUES,12,10/06/2011 14:50:00,0.39,12757.0,Portugal,4.68
551944,22423,R*EGEN!CY CAK*E&S!TAND& 3 T&IER,3,05-05-2011 11:08 AM,12.75,14553.0,United Kingdom,38.25
539718,22922,F!RID@G@E MA%GNET#S %US DINE*R AS#S!OR$TED$,1,21/12/2010 13:06:00,11.02,,United Kingdom,11.02
540277,48194,DOORMAT HE*ARTS,10,2011.06.01 12:18:00,6.75,14258.0,United Kingdom,67.5
581133,22695,WICKER WREAT!H! S*M^A!L%L%,24,2011.07.12 12:55:00,0.59,14904.0,United Kingdom,14.16
549282,35004G,SET !O%F #3 G$OLD FLYING# D$U&CKS,4,04/07/2011 13:24:00,6.35,13718.0,United Kingdom,25.4
538683,22297,HEART I$V%ORY TR*ELL&IS SMALL,24,2010.12.13 17:40:00,1.25,14525.0,United Kingdom,30.0
577855,23266,SET OF $3 WOODE^N @STOC^KING DE$CO@RATI%ON@,1,11-22-2011 11:18 AM,1.25,15877.0,United Kingdom,1.25
542425,22829,SWEETHEAR#T WIR%E WALL #TIDY,2,01-28-2011 09:20 AM,9.95,12574.0,France,19.9
542869,85232D,SET/3 D$ECOUPA#GE! STACKING TI#N^S,3,02/01/2011 12:27:00,4.95,17035.0,United Kingdom,14.85
542100,35913B,WHITE/P&I@NK CH#I*C$K& EAS!TE^R D@E&CO$R$ATIO%N,5,25/01/2011 13:15:00,0.85,15339.0,United Kingdom,4.25
575930,22910,PAPE#R CHAIN K@IT VINTAG$E& CH@RISTMAS,8,11-11-2011 05:58 PM,5.79,,United Kingdom,46.32
553737,22203,MILK PAN @RED $RET*ROSPO@T,4,05-19-2011 08:50 AM,3.75,15116.0,United Kingdom,15.0
566085,22994,T*RA$VEL C!AR@D W!AL^L!ET R@ETR!O&SPOT,1,09/09/2011 10:12:00,0.42,17841.0,United Kingdom,0.42
548405,22667,R&E!CI@PE BO#X@ RETROSPO^T&,6,31/03/2011 09:48:00,2.95,17088.0,United Kingdom,17.700000000000003
540995,21557,SE$T %OF $6 FUNKY BE^AKERS,6,13/01/2011 09:30:00,2.46,,United Kingdom,14.76
